rank 1: start pid=494086 shape=deep_rounds
rank 1: round 0 ok checksum=12805411635850838784
rank 1: round 25 ok checksum=4506170052233416192
rank 1: round 50 ok checksum=709844245257623808
rank 1: round 75 ok checksum=1628339750735242240
rank 1: round 100 ok checksum=13245256976385715968
rank 1: round 125 ok checksum=15871529905116772864
rank 1: round 150 ok checksum=14243239651475244288
rank 1: round 175 ok checksum=16975964263164284928
rank 1: round 200 ok checksum=14550955044037810944
rank 1: round 225 ok checksum=6561685601273423360
rank 1: round 250 ok checksum=18268855377167773952
rank 1: round 275 ok checksum=9618441278579227648
rank 1: round 300 ok checksum=4152504712362362624
rank 1: round 325 ok checksum=8925954313047233024
rank 1: round 350 ok checksum=15965483523688832256
rank 1: round 375 ok checksum=6872020716621162496
rank 1: round 400 ok checksum=11295238056817177344
rank 1: round 425 ok checksum=11754248278622141952
rank 1: round 450 ok checksum=3787452610495400192
rank 1: round 475 ok checksum=3905669018528093184
rank 1: round 500 ok checksum=736854750309441280
rank 1: round 525 ok checksum=6832765825512778240
rank 1: round 550 ok checksum=8309297669897286912
rank 1: round 575 ok checksum=9834510730169597952
rank 1: round 600 ok checksum=16223169715580832512
rank 1: round 625 ok checksum=5225690256968734208
rank 1: round 650 ok checksum=12826087150736285952
rank 1: round 675 ok checksum=322506258220313600
rank 1: round 700 ok checksum=15087488105890133760
rank 1: round 725 ok checksum=13206978661824102912
rank 1: round 750 ok checksum=3469187923580538112
rank 1: round 775 ok checksum=10029520308877727744
rank 1: round 800 ok checksum=15160587494041608960
rank 1: round 825 ok checksum=6602826197760585216
rank 1: round 850 ok checksum=14223570449462786304
rank 1: round 875 ok checksum=2245683807921521664
rank 1: round 900 ok checksum=18262435133271674624
rank 1: round 925 ok checksum=4131121535303997952
rank 1: round 950 ok checksum=2003515427991987456
rank 1: round 975 ok checksum=13011686723441881088
rank 1: round 1000 ok checksum=2059604136996289280
rank 1: round 1025 ok checksum=8443060412965717504
rank 1: round 1050 ok checksum=7434789366676541696
rank 1: round 1075 ok checksum=7328144366993972224
rank 1: round 1100 ok checksum=5480621970008041216
rank 1: round 1125 ok checksum=10713594096805818880
rank 1: round 1150 ok checksum=16236438375301414144
rank 1: round 1175 ok checksum=12607669169389684736
rank 1: round 1200 ok checksum=17674639203286717184
rank 1: round 1225 ok checksum=8199661320372379136
rank 1: round 1250 ok checksum=6815281390041278720
rank 1: round 1275 ok checksum=6102367091072365568
rank 1: round 1300 ok checksum=1880487658733059840
rank 1: round 1325 ok checksum=1971690061223660032
rank 1: round 1350 ok checksum=5825985587034641664
rank 1: round 1375 ok checksum=5737093045918113792
rank 1: round 1400 ok checksum=5036752565046045440
rank 1: round 1425 ok checksum=11762435814508770816
rank 1: round 1450 ok checksum=3186766643726385408
rank 1: round 1475 ok checksum=4170918700022057984
rank 1: round 1500 ok checksum=16475886978996147968
rank 1: round 1525 ok checksum=15780876172788359680
rank 1: round 1550 ok checksum=12385135757497543936
rank 1: round 1575 ok checksum=4420280141771601920
rank 1: round 1600 ok checksum=2516881123223388928
rank 1: round 1625 ok checksum=11599912031401217536
rank 1: round 1650 ok checksum=5503409614663866624
rank 1: round 1675 ok checksum=12025227904281191424
rank 1: round 1700 ok checksum=12046177862916435712
rank 1: round 1725 ok checksum=17036748273253890560
rank 1: round 1750 ok checksum=6745072595282134272
