rank 0: start pid=496832 shape=p2p_ring
rank 0: round 0 ok checksum=6000
rank 0: round 25 ok checksum=160550
rank 0: round 50 ok checksum=323850
rank 0: round 75 ok checksum=495900
rank 0: round 100 ok checksum=676700
rank 0: round 125 ok checksum=866250
rank 0: round 150 ok checksum=1064550
rank 0: round 175 ok checksum=1271600
rank 0: round 200 ok checksum=1487400
rank 0: round 225 ok checksum=1711950
rank 0: round 250 ok checksum=1945250
rank 0: round 275 ok checksum=2187300
rank 0: round 300 ok checksum=2438100
rank 0: round 325 ok checksum=2697650
rank 0: round 350 ok checksum=2965950
rank 0: round 375 ok checksum=3243000
rank 0: round 400 ok checksum=3528800
rank 0: round 425 ok checksum=3823350
rank 0: round 450 ok checksum=4126650
rank 0: round 475 ok checksum=4438700
rank 0: round 500 ok checksum=4759500
rank 0: round 525 ok checksum=5089050
rank 0: round 550 ok checksum=5427350
rank 0: round 575 ok checksum=5774400
rank 0: round 600 ok checksum=6130200
rank 0: round 625 ok checksum=6494750
rank 0: round 650 ok checksum=6868050
rank 0: round 675 ok checksum=7250100
rank 0: round 700 ok checksum=7640900
rank 0: round 725 ok checksum=8040450
rank 0: round 750 ok checksum=8448750
rank 0: round 775 ok checksum=8865800
rank 0: round 800 ok checksum=9291600
rank 0: round 825 ok checksum=9726150
rank 0: round 850 ok checksum=10169450
rank 0: round 875 ok checksum=10621500
rank 0: round 900 ok checksum=11082300
rank 0: round 925 ok checksum=11551850
rank 0: round 950 ok checksum=12030150
rank 0: round 975 ok checksum=12517200
rank 0: round 1000 ok checksum=13013000
rank 0: round 1025 ok checksum=13517550
rank 0: round 1050 ok checksum=14030850
rank 0: round 1075 ok checksum=14552900
rank 0: round 1100 ok checksum=15083700
rank 0: round 1125 ok checksum=15623250
rank 0: round 1150 ok checksum=16171550
rank 0: round 1175 ok checksum=16728600
rank 0: round 1200 ok checksum=17294400
rank 0: round 1225 ok checksum=17868950
rank 0: round 1250 ok checksum=18452250
rank 0: round 1275 ok checksum=19044300
rank 0: round 1300 ok checksum=19645100
rank 0: round 1325 ok checksum=20254650
rank 0: round 1350 ok checksum=20872950
rank 0: round 1375 ok checksum=21500000
rank 0: round 1400 ok checksum=22135800
rank 0: round 1425 ok checksum=22780350
rank 0: round 1450 ok checksum=23433650
rank 0: round 1475 ok checksum=24095700
rank 0: round 1500 ok checksum=24766500
rank 0: round 1525 ok checksum=25446050
rank 0: round 1550 ok checksum=26134350
rank 0: round 1575 ok checksum=26831400
rank 0: round 1600 ok checksum=27537200
rank 0: round 1625 ok checksum=28251750
rank 0: round 1650 ok checksum=28975050
rank 0: round 1675 ok checksum=29707100
rank 0: round 1700 ok checksum=30447900
rank 0: round 1725 ok checksum=31197450
rank 0: round 1750 ok checksum=31955750
rank 0: round 1775 ok checksum=32722800
rank 0: round 1800 ok checksum=33498600
rank 0: round 1825 ok checksum=34283150
rank 0: round 1850 ok checksum=35076450
rank 0: round 1875 ok checksum=35878500
rank 0: round 1900 ok checksum=36689300
rank 0: round 1925 ok checksum=37508850
rank 0: round 1950 ok checksum=38337150
rank 0: round 1975 ok checksum=39174200
rank 0: round 2000 ok checksum=40020000
rank 0: round 2025 ok checksum=40874550
rank 0: round 2050 ok checksum=41737850
rank 0: round 2075 ok checksum=42609900
rank 0: round 2100 ok checksum=43490700
rank 0: round 2125 ok checksum=44380250
rank 0: round 2150 ok checksum=45278550
rank 0: round 2175 ok checksum=46185600
rank 0: round 2200 ok checksum=47101400
rank 0: round 2225 ok checksum=48025950
rank 0: round 2250 ok checksum=48959250
rank 0: round 2275 ok checksum=49901300
rank 0: round 2300 ok checksum=50852100
rank 0: round 2325 ok checksum=51811650
rank 0: round 2350 ok checksum=52779950
rank 0: round 2375 ok checksum=53757000
rank 0: round 2400 ok checksum=54742800
rank 0: round 2425 ok checksum=55737350
rank 0: round 2450 ok checksum=56740650
