rank 0: start pid=509592 shape=mixed_p2p_collective
rank 0: round 0 ok checksum=12676158632293440166
rank 0: round 25 ok checksum=6727571416868537384
rank 0: round 50 ok checksum=8586272399339228168
rank 0: round 75 ok checksum=5245102120908817666
rank 0: round 100 ok checksum=6466307195680820592
rank 0: round 125 ok checksum=18111778676850304928
rank 0: round 150 ok checksum=17632510570344096508
rank 0: round 175 ok checksum=10009546161424671202
rank 0: round 200 ok checksum=11793261707848543116
rank 0: round 225 ok checksum=16682913959258272424
rank 0: round 250 ok checksum=13303858815908259584
rank 0: round 275 ok checksum=10267732295965710802
rank 0: round 300 ok checksum=4064809706672959032
rank 0: round 325 ok checksum=8243382921729445952
rank 0: round 350 ok checksum=7876977751577504532
rank 0: round 375 ok checksum=11555400387555426244
rank 0: round 400 ok checksum=12216499792826681208
rank 0: round 425 ok checksum=8510101095193387710
rank 0: round 450 ok checksum=3184647456549705440
rank 0: round 475 ok checksum=7346700270551825212
rank 0: round 500 ok checksum=7833226899729104684
rank 0: round 525 ok checksum=4453136287446656798
rank 0: round 550 ok checksum=10988491881115156284
rank 0: round 575 ok checksum=837802033159077188
rank 0: round 600 ok checksum=3265510138018490096
rank 0: round 625 ok checksum=16557177720659232142
rank 0: round 650 ok checksum=8147718339408580392
rank 0: round 675 ok checksum=14984827734372987100
rank 0: round 700 ok checksum=12857896260123201974
rank 0: round 725 ok checksum=16038336930707002274
rank 0: round 750 ok checksum=8003806817602592106
rank 0: round 775 ok checksum=18022195198319833932
rank 0: round 800 ok checksum=5058972757071300962
rank 0: round 825 ok checksum=4865258456025024698
rank 0: round 850 ok checksum=13607932522855599998
rank 0: round 875 ok checksum=12707390751823027660
rank 0: round 900 ok checksum=14489937726408282782
rank 0: round 925 ok checksum=13354927524860396898
rank 0: round 950 ok checksum=12761808570941986466
rank 0: round 975 ok checksum=11612356086630339420
rank 0: round 1000 ok checksum=16533869051798108266
rank 0: round 1025 ok checksum=2084784762372724076
rank 0: round 1050 ok checksum=4859638864385773370
rank 0: round 1075 ok checksum=6806058094332262290
rank 0: round 1100 ok checksum=13185754417221345326
rank 0: round 1125 ok checksum=3207584771232782428
