rank 0: start pid=520276 shape=noncommutative
rank 0: round 0 ok checksum=617059089654029650
rank 0: round 25 ok checksum=10130956920665341996
rank 0: round 50 ok checksum=862798122579985322
rank 0: round 75 ok checksum=15430305964827926123
rank 0: round 100 ok checksum=3412678231247227685
rank 0: round 125 ok checksum=14545036886293656860
rank 0: round 150 ok checksum=290664382697943383
rank 0: round 175 ok checksum=5597875694076980461
rank 0: round 200 ok checksum=18086914318627657485
rank 0: round 225 ok checksum=3296912580063416858
rank 0: round 250 ok checksum=7307515662212386997
rank 0: round 275 ok checksum=16836267581827669248
rank 0: round 300 ok checksum=569549813655693832
rank 0: round 325 ok checksum=8743232815398469986
rank 0: round 350 ok checksum=1079983642426226216
rank 0: round 375 ok checksum=17099085967691512174
rank 0: round 400 ok checksum=3496220317982065548
rank 0: round 425 ok checksum=4809386320376784467
rank 0: round 450 ok checksum=3231160931812304131
rank 0: round 475 ok checksum=6607031714977066045
rank 0: round 500 ok checksum=4567596266104368242
rank 0: round 525 ok checksum=10125092191499645793
rank 0: round 550 ok checksum=10377833343717402598
rank 0: round 575 ok checksum=14430040859981891781
rank 0: round 600 ok checksum=11377124670423598548
rank 0: round 625 ok checksum=18069709680803552972
rank 0: round 650 ok checksum=7748027297351281646
rank 0: round 675 ok checksum=4163089680735987450
rank 0: round 700 ok checksum=14844959937128487837
rank 0: round 725 ok checksum=8418420829887248706
rank 0: round 750 ok checksum=13518867791451618174
rank 0: round 775 ok checksum=14347638578848307963
rank 0: round 800 ok checksum=9524628270866587223
rank 0: round 825 ok checksum=2224073765471700333
rank 0: round 850 ok checksum=2008943708897796654
rank 0: round 875 ok checksum=7762295707745929025
rank 0: round 900 ok checksum=15180721495093474354
rank 0: round 925 ok checksum=6516289968900034328
rank 0: round 950 ok checksum=13664756327138679690
rank 0: round 975 ok checksum=16316611336843254740
rank 0: round 1000 ok checksum=15722486385192187109
rank 0: round 1025 ok checksum=14614577159996892118
rank 0: round 1050 ok checksum=9351858765693775447
rank 0: round 1075 ok checksum=10327286178537963687
rank 0: round 1100 ok checksum=7113123011844622428
rank 0: round 1125 ok checksum=10114022693985842807
rank 0: round 1150 ok checksum=18047233440926564574
rank 0: round 1175 ok checksum=6163902205621308617
rank 0: round 1200 ok checksum=6081807109341262048
rank 0: round 1225 ok checksum=12055930098535077068
rank 0: round 1250 ok checksum=5714201484787897152
rank 0: round 1275 ok checksum=5319520706396945687
rank 0: round 1300 ok checksum=14645179720505456840
rank 0: round 1325 ok checksum=13290418623970438133
rank 0: round 1350 ok checksum=9473988038427144018
rank 0: round 1375 ok checksum=8437758408227653490
rank 0: round 1400 ok checksum=17392526611629973704
rank 0: round 1425 ok checksum=17313662520475279851
rank 0: round 1450 ok checksum=14398868019969829730
rank 0: round 1475 ok checksum=4779740863992099176
rank 0: round 1500 ok checksum=14803796487627283515
rank 0: round 1525 ok checksum=3028600941211931903
rank 0: round 1550 ok checksum=2007274600589535430
rank 0: round 1575 ok checksum=2841530500795750875
rank 0: round 1600 ok checksum=5667262604163241240
rank 0: round 1625 ok checksum=12668778967546794417
rank 0: round 1650 ok checksum=6624159860699879005
rank 0: round 1675 ok checksum=4100333454522500347
rank 0: round 1700 ok checksum=6164392449680261452
rank 0: round 1725 ok checksum=6213387896919258743
rank 0: round 1750 ok checksum=15655987067150824377
rank 0: round 1775 ok checksum=8401859721600959028
rank 0: round 1800 ok checksum=13436014777381008373
rank 0: round 1825 ok checksum=18287086634472301517
rank 0: round 1850 ok checksum=2569313080214613511
rank 0: round 1875 ok checksum=12431389526063221988
rank 0: round 1900 ok checksum=16830787678366499095
rank 0: round 1925 ok checksum=5103722297164958392
rank 0: round 1950 ok checksum=18383332169216414040
rank 0: round 1975 ok checksum=15517342002190826133
rank 0: round 2000 ok checksum=9118838414659958381
rank 0: round 2025 ok checksum=12062312603878766963
rank 0: round 2050 ok checksum=2778390619380614576
rank 0: round 2075 ok checksum=17928139482679197607
rank 0: round 2100 ok checksum=2973535860263793314
rank 0: round 2125 ok checksum=6664864777047704857
rank 0: round 2150 ok checksum=2107038507142820026
rank 0: round 2175 ok checksum=7420375343384323395
rank 0: round 2200 ok checksum=13682231064979821416
rank 0: round 2225 ok checksum=3803537434735717085
rank 0: round 2250 ok checksum=7337974260920671409
rank 0: round 2275 ok checksum=14711756724390816581
rank 0: round 2300 ok checksum=8174461662807679840
rank 0: round 2325 ok checksum=3422111405181107191
rank 0: round 2350 ok checksum=1192091342384348184
rank 0: round 2375 ok checksum=17056331424888286565
rank 0: round 2400 ok checksum=15280744161748528874
rank 0: round 2425 ok checksum=8404014283545630679
rank 0: round 2450 ok checksum=8826100833678049285
rank 0: round 2475 ok checksum=5413355232407189350
rank 0: round 2500 ok checksum=16871812990253108435
rank 0: round 2525 ok checksum=11664378946607068131
rank 0: round 2550 ok checksum=14256532954064290666
rank 0: round 2575 ok checksum=15835008353985791856
rank 0: round 2600 ok checksum=6530908757933077555
rank 0: round 2625 ok checksum=10109965048528761088
rank 0: round 2650 ok checksum=7433980393856504969
rank 0: round 2675 ok checksum=17928145035820534317
rank 0: round 2700 ok checksum=18390915829754646630
rank 0: round 2725 ok checksum=4147367184493254736
rank 0: round 2750 ok checksum=5237890016169719958
rank 0: round 2775 ok checksum=16451639196988674831
rank 0: round 2800 ok checksum=13806974568268832794
rank 0: round 2825 ok checksum=4501432227810521498
rank 0: round 2850 ok checksum=10223586808154088444
rank 0: round 2875 ok checksum=11242989667737754154
rank 0: round 2900 ok checksum=3754738471298878253
rank 0: round 2925 ok checksum=8783442099932420602
rank 0: round 2950 ok checksum=6091662942027570251
rank 0: round 2975 ok checksum=7322037032632260691
