rank 1: start pid=523331 shape=collectives_sweep
rank 1: round 0 ok checksum=8050212654421554471
rank 1: round 25 ok checksum=6146720623394637438
rank 1: round 50 ok checksum=4244110265217202425
rank 1: round 75 ok checksum=17030309573415272500
rank 1: round 100 ok checksum=11618743984793043047
rank 1: round 125 ok checksum=16095618706252731432
rank 1: round 150 ok checksum=3678581625210307484
rank 1: round 175 ok checksum=4354671318843215552
rank 1: round 200 ok checksum=13243738161311680836
rank 1: round 225 ok checksum=305120652999655017
rank 1: round 250 ok checksum=16762325174289796598
rank 1: round 275 ok checksum=11976216142049975414
rank 1: round 300 ok checksum=16144773628113050526
rank 1: round 325 ok checksum=3366380098628304956
rank 1: round 350 ok checksum=8458753100146132349
rank 1: round 375 ok checksum=9290444028558145867
rank 1: round 400 ok checksum=7219360086694723692
rank 1: round 425 ok checksum=6313217491625871706
rank 1: round 450 ok checksum=13873501180352319055
rank 1: round 475 ok checksum=15030790334170290135
rank 1: round 500 ok checksum=10666912009274856953
rank 1: round 525 ok checksum=5695693711170541806
rank 1: round 550 ok checksum=9231155173853920441
rank 1: round 575 ok checksum=18010408795069947871
rank 1: round 600 ok checksum=17521106473943194408
rank 1: round 625 ok checksum=14267193055377899348
rank 1: round 650 ok checksum=17654353201624737152
rank 1: round 675 ok checksum=13821625147049296218
rank 1: round 700 ok checksum=8808460821446169652
rank 1: round 725 ok checksum=14902301411857868745
rank 1: round 750 ok checksum=13317885126859346491
rank 1: round 775 ok checksum=5574612499553095347
rank 1: round 800 ok checksum=15570593310473688174
rank 1: round 825 ok checksum=9215463113110601297
rank 1: round 850 ok checksum=4615831753560593146
rank 1: round 875 ok checksum=14299120190843533745
rank 1: round 900 ok checksum=7865151544661067016
rank 1: round 925 ok checksum=8033880400001659239
rank 1: round 950 ok checksum=8400439693200384134
rank 1: round 975 ok checksum=1334382044372422761
rank 1: round 1000 ok checksum=11421157014660266410
rank 1: round 1025 ok checksum=14654361373268734489
rank 1: round 1050 ok checksum=7796280026406832068
rank 1: round 1075 ok checksum=3593870886270116647
rank 1: round 1100 ok checksum=13276265876737663610
rank 1: round 1125 ok checksum=7669065557786949867
rank 1: round 1150 ok checksum=16833519880993115855
rank 1: round 1175 ok checksum=16807552354615295323
rank 1: round 1200 ok checksum=3232047288882820087
rank 1: round 1225 ok checksum=16861143232675800884
rank 1: round 1250 ok checksum=1681818134430314865
rank 1: round 1275 ok checksum=3380646623641631633
rank 1: round 1300 ok checksum=13583967330815786009
rank 1: round 1325 ok checksum=5814158895620005799
rank 1: round 1350 ok checksum=5117630577336357272
rank 1: round 1375 ok checksum=2754526303893075718
rank 1: round 1400 ok checksum=6274961572195087751
rank 1: round 1425 ok checksum=8603360615105267981
rank 1: round 1450 ok checksum=12041878076028311794
rank 1: round 1475 ok checksum=1663190115277226258
rank 1: round 1500 ok checksum=228947476621771548
rank 1: round 1525 ok checksum=14012196146514582337
rank 1: round 1550 ok checksum=12519108707902757884
rank 1: round 1575 ok checksum=2696434555220086202
rank 1: round 1600 ok checksum=2101888465486678251
rank 1: round 1625 ok checksum=10051667525541746735
rank 1: round 1650 ok checksum=18291986928299036227
rank 1: round 1675 ok checksum=11067401998811491765
rank 1: round 1700 ok checksum=10552048329342174783
rank 1: round 1725 ok checksum=11765089129983094596
rank 1: round 1750 ok checksum=10810830987038580966
rank 1: round 1775 ok checksum=17392738105982668854
rank 1: round 1800 ok checksum=8586203029838782177
rank 1: round 1825 ok checksum=17590328870862525148
rank 1: round 1850 ok checksum=10442859273533805293
rank 1: round 1875 ok checksum=7904314601867052932
rank 1: round 1900 ok checksum=9988216114309719883
rank 1: round 1925 ok checksum=17694349216106096090
